date,noncomm_short,noncomm_long,open_interest_all,net
2006-03-07,9732,61688,132341,51956
2006-03-14,8062,59251,127834,51189
2006-03-21,8786,62687,132347,53901
2006-03-28,10691,63054,134579,52363
2006-04-04,10830,62676,140419,51846
2006-04-11,13889,60028,141906,46139
2006-04-18,14792,56968,140408,42176
2006-04-25,7187,43242,127250,36055
2006-05-02,10448,41659,112421,31211
2006-05-09,8838,38664,110968,29826
2006-05-16,9349,35419,110184,26070
2006-05-23,8554,34795,110443,26241
2006-05-30,8797,35169,109388,26372
2006-06-06,9728,32662,112351,22934
2006-06-13,8612,33080,112993,24468
2006-06-20,9803,32276,112485,22473
2006-06-27,10906,30746,109024,19840
2006-07-03,7219,31220,97874,24001
2006-07-11,7464,31855,99551,24391
2006-07-18,8077,31264,99954,23187
2006-07-25,7320,31142,97539,23822
2006-08-01,7889,32228,98685,24339
2006-08-08,8994,37564,108463,28570
2006-08-15,8978,36719,111358,27741
2006-08-22,9361,38914,114877,29553
2006-08-29,9400,38861,112346,29461
2006-09-05,11100,40920,108132,29820
2006-09-12,10553,32926,101450,22373
2006-09-19,10286,29367,100314,19081
2006-09-26,9800,28267,100272,18467
2006-10-03,8089,27302,98967,19213
2006-10-10,8370,27850,100304,19480
2006-10-17,9026,31433,106890,22407
2006-10-24,8496,34851,109100,26355
2006-10-31,8570,36672,110237,28102
2006-11-07,8467,38784,113697,30317
2006-11-14,8540,43634,117486,35094
2006-11-21,6905,44371,116375,37466
2006-11-28,7051,46095,109864,39044
2006-12-05,7352,49012,106839,41660
2006-12-12,8364,51968,110084,43604
2006-12-19,6432,43218,103358,36786
2006-12-26,6541,41044,101141,34503
2007-01-03,8056,40337,103703,32281
2007-01-09,7262,40894,101420,33632
2007-01-16,7212,39984,101830,32772
2007-01-23,7398,43051,108484,35653
2007-01-30,8123,47120,112320,38997
2007-02-06,8816,49943,116607,41127
2007-02-13,10381,53943,123596,43562
2007-02-20,10495,56923,127032,46428
2007-02-27,9502,63891,125249,54389
2007-03-06,7308,44348,115412,37040
2007-03-13,6920,40204,112728,33284
2007-03-20,6475,38039,113072,31564
2007-03-27,6365,38443,111348,32078
2007-04-03,7739,39399,112120,31660
2007-04-10,9375,43105,118004,33730
2007-04-17,9997,47030,122313,37033
2007-04-24,10378,48794,123627,38416
2007-05-01,11404,43129,109108,31725
2007-05-08,11929,41590,108852,29661
2007-05-15,11620,41376,108698,29756
2007-05-22,14479,39806,108612,25327
2007-05-29,13717,41409,111742,27692
2007-06-05,11980,44461,115097,32481
2007-06-12,12494,44174,119583,31680
2007-06-19,9953,44649,124252,34696
2007-06-26,12713,40565,120288,27852
2007-07-03,16067,40070,117290,24003
2007-07-10,14402,40880,116724,26478
2007-07-17,12046,39986,115546,27940
2007-07-24,10411,42754,119064,32343
2007-07-31,11211,38580,118550,27369
2007-08-07,10377,39317,122787,28940
2007-08-14,9256,36203,122912,26947
2007-08-21,12809,32607,117914,19798
2007-08-28,16050,25712,111791,9662
2007-09-04,16688,25965,107814,9277
2007-09-11,16582,27426,108199,10844
2007-09-18,15241,28450,109750,13209
2007-09-25,13085,37848,116537,24763
2007-10-02,12749,39347,117498,26598
2007-10-09,13029,41278,120478,28249
2007-10-16,13040,41936,124780,28896
2007-10-23,12298,40818,122842,28520
2007-10-30,13733,44222,133518,30489
2007-11-06,14245,48322,150120,34077
2007-11-13,14724,45951,146205,31227
2007-11-20,14802,44350,146852,29548
2007-11-27,11564,42438,144601,30874
2007-12-04,11041,39409,138128,28368
2007-12-11,11234,42254,147922,31020
2007-12-18,12111,38234,148157,26123
2007-12-24,8820,40310,150953,31490
2007-12-31,8322,43450,152888,35128
2008-01-08,10691,51774,168508,41083
2008-01-15,12852,55869,177544,43017
2008-01-22,11916,58504,179362,46588
2008-01-29,11571,57683,183056,46112
2008-02-05,9057,58807,184677,49750
2008-02-12,10885,62875,187309,51990
2008-02-19,10595,63733,189151,53138
2008-02-26,9620,63537,173340,53917
2008-03-04,11594,62211,166625,50617
2008-03-11,8916,59926,162481,51010
2008-03-18,9489,59944,160860,50455
2008-03-25,8541,48579,148918,40038
2008-04-01,6193,47457,145358,41264
2008-04-08,7258,47194,145698,39936
2008-04-15,6379,46916,149199,40537
2008-04-22,6226,47548,153234,41322
2008-04-29,6421,48978,126504,42557
2008-05-06,7600,48779,121057,41179
2008-05-13,9415,49456,122802,40041
2008-05-20,11158,54227,125838,43069
2008-05-27,10909,55747,126583,44838
2008-06-03,9145,51098,123200,41953
2008-06-10,10338,51259,128241,40921
2008-06-17,9430,49452,130931,40022
2008-06-24,10195,49195,128720,39000
2008-07-01,9925,56414,130495,46489
2008-07-08,10957,59095,135835,48138
2008-07-15,10777,60062,143386,49285
2008-07-22,10802,57762,140089,46960
2008-07-29,10421,50265,132854,39844
2008-08-05,9649,46849,133255,37200
2008-08-12,9915,45941,140094,36026
2008-08-19,10961,42525,135028,31564
2008-08-26,11869,39453,125075,27584
2008-09-02,13301,40310,116628,27009
2008-09-09,14090,38840,116403,24750
2008-09-16,14660,38161,112340,23501
2008-09-23,13012,34169,104403,21157
2008-09-30,12069,30405,103812,18336
2008-10-07,11783,28882,99883,17099
2008-10-14,11218,28140,98596,16922
2008-10-21,13463,27104,95873,13641
2008-10-28,12754,27822,95716,15068
2008-11-04,11508,29015,94365,17507
2008-11-11,11287,30913,94494,19626
2008-11-18,10603,29678,91853,19075
2008-11-25,10756,24915,86878,14159
2008-12-02,8210,24263,82434,16053
2008-12-09,7618,24501,83476,16883
2008-12-16,7416,26737,87384,19321
2008-12-22,6577,26817,85219,20240
2008-12-30,7311,27106,85312,19795
2009-01-06,6578,26767,86788,20189
2009-01-13,7543,25899,85916,18356
2009-01-20,7597,26663,86349,19066
2009-01-27,7802,28760,89185,20958
2009-02-03,7015,29430,93813,22415
2009-02-10,6720,30842,96019,24122
2009-02-17,6237,30954,99325,24717
2009-02-24,5768,30975,101629,25207
2009-03-03,5706,32391,93051,26685
2009-03-10,5267,30549,92260,25282
2009-03-17,5022,29437,92796,24415
2009-03-24,4980,27711,93147,22731
2009-03-31,6645,27232,94506,20587
2009-04-07,8557,26198,93101,17641
2009-04-14,7656,24462,94568,16806
2009-04-21,10518,24516,96277,13998
2009-04-28,8402,24121,90687,15719
2009-05-05,6581,27385,89477,20804
2009-05-12,7932,32432,96546,24500
2009-05-19,5964,34189,96079,28225
2009-05-26,5948,33982,98120,28034
2009-06-02,7121,35789,104986,28668
2009-06-09,5446,36330,106447,30884
2009-06-16,4481,33876,103981,29395
2009-06-23,4633,30838,105699,26205
2009-06-30,5455,30233,104594,24778
2009-07-07,5515,29641,100376,24126
2009-07-14,7605,28690,99662,21085
2009-07-21,9811,28351,98269,18540
2009-07-28,8855,30181,97761,21326
2009-08-04,8585,32434,99477,23849
2009-08-11,8771,36581,104790,27810
2009-08-18,7287,35138,103527,27851
2009-08-25,6537,35667,101539,29130
2009-09-01,7815,42244,106671,34429
2009-09-08,7783,48685,116421,40902
2009-09-15,8526,54995,123873,46469
2009-09-22,9522,56756,128184,47234
2009-09-29,7556,54966,128695,47410
2009-10-06,7314,54614,131801,47300
2009-10-13,7257,55532,136015,48275
2009-10-20,7602,55740,135456,48138
2009-10-27,6874,51014,132843,44140
2009-11-03,5944,45742,129240,39798
2009-11-09,5908,43862,141794,37954
2009-11-17,7117,47597,142200,40480
2009-11-24,3222,48870,136162,45648
2009-12-01,4599,49798,131899,45199
2009-12-08,4039,46575,125999,42536
2009-12-15,3763,42440,121787,38677
2009-12-22,2850,42528,122294,39678
2009-12-29,3165,41886,124334,38721
2010-01-05,4813,44312,125391,39499
2010-01-12,4175,48703,128675,44528
2010-01-19,5056,49357,131385,44301
2010-01-26,4404,41473,124895,37069
2010-02-02,6047,36924,122261,30877
2010-02-09,9073,32438,118593,23365
2010-02-16,9237,34615,120166,25378
2010-02-23,7679,35495,117376,27816
2010-03-02,5663,36721,108248,31058
2010-03-09,4886,40051,112130,35165
2010-03-16,5270,40126,114192,34856
2010-03-23,5804,38105,112520,32301
2010-03-30,5753,38734,113405,32981
2010-04-06,6529,44052,118712,37523
2010-04-13,7890,47495,123661,39605
2010-04-20,8098,46960,126679,38862
2010-04-27,7895,48462,124157,40567
2010-05-04,8627,47287,123448,38660
2010-05-11,10258,47848,122669,37590
2010-05-18,8874,51664,125228,42790
2010-05-25,7314,42146,120120,34832
2010-06-01,5912,41797,122368,35885
2010-06-08,5475,40478,122536,35003
2010-06-15,5948,43464,131070,37516
2010-06-22,6615,46666,139019,40051
2010-06-29,5545,47455,128065,41910
2010-07-06,4832,39876,118962,35044
2010-07-13,3994,39176,117959,35182
2010-07-20,6193,37827,117531,31634
2010-07-27,8143,38480,117370,30337
2010-08-03,6730,43185,123464,36455
2010-08-10,6863,42597,123370,35734
