date,open_interest_all,net
2000-01-25,76786,32541
2000-02-01,80659,38938
2000-02-08,85895,44193
2000-02-15,81169,40642
2000-02-22,79929,40404
2000-02-29,74070,23909
2000-03-07,74416,17797
2000-03-14,74268,16668
2000-03-21,74137,17471
2000-03-28,78683,16184
2000-04-04,73613,14341
2000-04-11,71464,18098
2000-04-18,76728,19586
2000-04-25,82551,11269
2000-05-02,72673,11793
2000-05-09,73478,16084
2000-05-16,72016,16323
2000-05-23,75631,12533
2000-05-30,81362,5184
2000-06-06,76294,16139
2000-06-13,75159,14939
2000-06-20,72499,16791
2000-06-27,78737,8781
2000-07-05,74024,13357
2000-07-11,74345,11788
2000-07-18,72072,11350
2000-07-25,76902,8897
2000-08-01,78268,9715
2000-08-08,89533,6865
2000-08-15,96284,2948
2000-08-22,98698,1212
2000-08-29,87766,2699
2000-09-05,74290,7609
2000-09-12,72522,9255
2000-09-19,73625,6779
2000-09-26,73351,6908
2000-10-03,72365,8658
2000-10-10,74915,8848
2000-10-17,78490,7744
2000-10-24,82093,3034
2000-10-31,84841,-290
2000-11-07,86546,-12
2000-11-14,84208,-3710
2000-11-21,81382,-1820
2000-11-28,79683,1679
2000-12-05,73515,1248
2000-12-12,75097,1944
2000-12-19,73261,-794
2000-12-26,72291,-760
2001-01-02,73255,-2215
2001-01-09,72565,-729
2001-01-16,69210,1609
2001-01-23,66720,11800
2001-01-30,66478,15163
2001-02-06,66339,17147
2001-02-13,72095,6435
2001-02-20,76826,1211
2001-02-27,83021,207
2001-03-06,74339,-2298
2001-03-13,73038,-1067
2001-03-20,75015,-1442
2001-03-27,73258,2510
2001-04-03,75281,1152
2001-04-10,75305,2226
2001-04-17,70392,2619
2001-04-24,67640,6555
2001-05-01,64781,4103
2001-05-08,66853,622
2001-05-15,69410,-1461
2001-05-22,67973,11327
2001-05-29,68464,15607
2001-06-05,66439,11406
2001-06-12,68826,7175
2001-06-19,65308,9533
2001-06-26,70494,6124
2001-07-03,69074,3562
2001-07-10,73531,567
2001-07-17,77428,-2586
2001-07-24,76722,-1977
2001-07-31,77616,-1753
2001-08-07,78056,-1350
2001-08-14,75207,-626
2001-08-21,74613,2970
2001-08-28,73714,3472
2001-09-04,72547,1603
2001-09-10,70825,1230
2001-09-18,63592,8859
2001-09-25,63127,24120
2001-10-02,65473,29993
2001-10-09,71215,34739
